2020-02-27 23:51:45,406 ERROR    myPIC macro not initialized correctly.
2020-02-27 23:57:33,597 ERROR    Pause button not found.
2020-02-27 23:57:35,671 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:35,673 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:35,673 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:35,674 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:35,675 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:36,695 ERROR    Pause button not found.
2020-02-27 23:57:38,717 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:38,719 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:38,719 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:38,720 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:38,721 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:39,785 ERROR    Pause button not found.
2020-02-27 23:57:41,744 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:41,746 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:41,746 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:41,747 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:41,747 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:42,679 ERROR    Pause button not found.
2020-02-27 23:57:44,785 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:44,787 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:44,788 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:44,788 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:44,789 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:45,743 ERROR    Pause button not found.
2020-02-27 23:57:47,806 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:47,808 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:47,808 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:47,809 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:47,810 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:48,756 ERROR    Pause button not found.
2020-02-27 23:57:50,832 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:50,834 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:50,834 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:50,835 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:50,836 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:51,777 ERROR    Pause button not found.
2020-02-27 23:57:53,835 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:53,837 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:53,837 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:53,838 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:53,838 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:54,820 ERROR    Pause button not found.
2020-02-27 23:57:56,861 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:56,863 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:56,863 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:56,864 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:56,864 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:57:57,807 ERROR    Pause button not found.
2020-02-27 23:57:59,880 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:57:59,882 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:57:59,883 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:57:59,883 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:57:59,884 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:58:00,815 ERROR    Pause button not found.
2020-02-27 23:58:02,928 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:58:02,930 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:58:02,931 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:58:02,932 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:58:02,932 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:58:03,880 ERROR    Pause button not found.
2020-02-27 23:58:05,935 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:58:05,936 DEBUG    STREAM b'sRGB' 41 1
2020-02-27 23:58:05,937 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:58:05,937 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:58:05,938 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:58:06,904 ERROR    Pause button not found.
2020-02-27 23:58:08,966 DEBUG    STREAM b'IHDR' 16 13
2020-02-27 23:58:08,968 DEBUG    STREAM b'sRGB' 41 1
